model,state,validation_test,WIS,WIS_peak
133,PB,3,233.52050151036278,67.08438420471981
133,PB,all,125.36636922408123,
133,PE,1,50.104817437717045,60.14766732674667
133,PE,2,236.9888688291236,778.1179787388513
133,PE,3,581.2587434931337,181.58099810282147
133,PE,all,271.5850180685746,
133,PI,1,42.47785485463362,143.51588672002813
133,PI,2,186.76661474480613,639.2273205439207
133,PI,3,186.1881447851195,400.4653580842143
133,PI,all,135.55648057776193,
133,PR,1,3344.011057997156,17117.271267982764
133,PR,2,11993.12640640063,42987.449511436185
133,PR,3,3667.130863073382,10923.778156647859
133,PR,all,6498.08010381524,
133,RJ,1,184.22701552138395,381.75062176739203
133,RJ,2,5569.780808046126,25807.635578296806
133,RJ,3,199.2258207513387,406.40320242422814
133,RJ,all,2093.7082797130483,
133,RN,1,219.00654063061742,511.14316582856424
133,RN,2,182.01093604299783,1008.641410022322
133,RN,3,119.57282278568546,230.19933371367947
133,RN,all,176.83360657695556,
133,RO,1,135.44589248763316,633.6510827241217
133,RO,2,53.45021014274793,405.12879646796205
133,RO,3,45.043719076925434,40.73300398897148
133,RO,all,79.99644392576606,
133,RR,1,1.55853498687641,4.633133739012963
133,RR,2,5.283634490615758,23.655128757602778
133,RR,3,2.8526469417618086,4.584585445899259
133,RR,all,3.254807015818712,
133,RS,1,609.0031339084992,2961.5812348259747
133,RS,2,2872.044724484183,15352.757144956238
133,RS,3,4424.841418945944,12014.64698079427
133,RS,all,2525.732446606089,
133,SC,1,2690.1612396751734,12577.159750917219
133,SC,2,2778.5362767859424,14607.190994601782
133,SC,3,10150.405891978338,33435.48953179253
133,SC,all,4903.671593272425,
133,SE,1,22.57735290450823,49.51451523921333
133,SE,2,29.982185254951883,71.01986490002814
133,SE,3,7.450806243906627,16.501527556664442
133,SE,all,20.77197722979531,
133,SP,1,3023.2054259340994,14654.329208939163
133,SP,2,36431.34109457293,141009.34328624586
133,SP,3,33188.040324035166,84000.02893518518
133,SP,all,23664.77655101958,
133,TO,1,19.350121000281888,29.815809532447037
133,TO,2,36.3026242521091,170.6997451888237
133,TO,3,299.588125791969,418.38337112709246
133,TO,all,107.32130722570749,
134,AC,1,182.34102441679457,197.6145192538263
134,AC,2,160.65304089180862,277.3982048184533
134,AC,3,273.1672351736874,652.9701291967948
134,AC,all,201.23729597629875,
134,AL,1,164.8695737230778,338.35649494709367
134,AL,2,203.12988176335543,581.6668604377315
134,AL,3,584.2664707404588,214.1929287904692
134,AL,all,301.084557327444,
134,AM,1,86.68067852401039,37.491088911879814
134,AM,2,84.22697842885151,267.7685374645298
134,AM,3,47.33818052463068,81.69499234653814
134,AM,all,74.30435322522406,
134,AP,1,19.800356058641476,75.25089302475482
134,AP,2,160.256402567906,307.3618243702772
134,AP,3,158.81607276037346,155.58429322030352
134,AP,all,110.14994950528248,
134,BA,1,1093.5779796663899,2948.4962507525634
134,BA,2,2917.5371396151977,13328.290838497574
134,BA,3,4372.1256307256535,11042.629991814727
134,BA,all,2697.8189681894264,
134,CE,1,1030.525703238132,528.8052762172656
134,CE,2,156.84062451955882,264.15427216072203
134,CE,3,729.3294543157066,1822.581714313319
134,CE,all,633.3620107413286,
134,DF,1,635.2788481601888,1074.999999999
134,DF,2,5000.662139145506,21126.01526740074
134,DF,3,1281.8980197460462,1647.722857217114
134,DF,all,2368.6431713535794,
134,GO,1,3369.549504282214,5346.681902859535
134,GO,2,5618.228118192049,12497.33799576617
134,GO,3,4058.7187792770465,2051.6742504034514
134,GO,all,4366.594176037923,
134,MA,1,220.12901272378247,684.6947499482053
134,MA,2,125.16871655100914,420.21041268040386
134,MA,3,74.09696654615097,179.33541435474316
134,MA,all,143.82075839301808,
134,MG,1,3856.159488927042,14932.3969746675
134,MG,2,31500.27411161004,118303.1639154522
134,MG,3,15006.856669761817,15269.74619980182
134,MG,all,16896.798530800585,
134,MS,1,1648.3407173568687,460.7021160994416
134,MS,2,145.82046127065854,314.5517842737748
134,MS,3,1085.5405352057528,2842.6479032799216
134,MS,all,952.2083285882911,
134,MT,1,977.2296799841278,283.6773027686204
134,MT,2,377.417463959549,805.5336807146956
134,MT,3,811.3535882268286,1020.5695479680359
134,MT,all,716.5296311484682,
134,PA,1,112.83944997923457,146.1033728194196
134,PA,2,151.1533557028781,377.66015155561666
134,PA,3,554.9760682490421,616.0852537006028
134,PA,all,255.7251485046168,
134,PB,1,403.01859094801216,671.0438735956698
134,PB,2,120.54471201460757,251.75747616180868
134,PB,3,226.3601860425823,104.27986834585722
134,PB,all,251.42027043460726,
134,PE,1,101.90774158526304,269.18341988494075
134,PE,2,731.201975303876,651.6502035478654
134,PE,3,486.64039214312237,119.21198554913133
134,PE,all,437.0560689822414,
134,PI,1,105.08511703695027,52.06855317119556
134,PI,2,284.40484747489086,813.9613597766175
134,PI,3,882.6600692199738,329.9835512159735
134,PI,all,395.971844429079,
134,PR,1,19765.184242845913,16122.245688697398
134,PR,2,8279.194088884567,27359.97506930197
134,PR,3,18522.79486934002,41829.13162199606
134,PR,all,15338.69287504494,
134,RJ,1,627.0132503922396,1199.6495381383168
134,RJ,2,2342.6105868214418,11805.66985525052
134,RJ,3,2605.028388137252,2494.25521196198
134,RJ,all,1812.4942872449878,
134,RN,1,251.87104030731396,143.77773216918314
134,RN,2,1315.6658376715009,457.2137764305392
134,RN,3,753.4603822611847,1573.6969702488695
134,RN,all,774.9028169532606,
134,RO,1,136.00905659970954,234.80450441266464
134,RO,2,48.57800877315903,200.73541214989905
134,RO,3,92.98817296018674,194.44954643958576
134,RO,all,92.49672678011697,
134,RR,1,7.391187706543344,10.047633202429443
134,RR,2,11.312649048212096,15.098759066650183
134,RR,3,9.341033538457403,15.818412887420372
134,RR,all,9.348734376877218,
134,RS,1,3306.9717436534434,7863.63827727413
134,RS,2,4142.949245682727,7943.766748999723
134,RS,3,31662.78829054589,53114.34038092693
134,RS,all,11897.250258088121,
134,SC,1,16272.798694965442,27021.588823072492
134,SC,2,21330.756485262056,43532.48254610301
134,SC,3,9508.45164272055,17624.17503780383
134,SC,all,16083.321700740229,
134,SE,1,99.68706644793991,106.77124076265686
134,SE,2,25.128114920555795,82.47605238212407
134,SE,3,238.9380131990717,192.16422247254073
134,SE,all,114.04574148790378,
134,SP,1,5939.8433061873675,1524.9136072022254
134,SP,2,30032.240252843454,124969.57644799659
134,SP,3,141661.90762781788,232967.011833956
134,SP,all,54163.335871195726,
134,TO,1,146.00209980306073,167.51134309060427
134,TO,2,128.83271052330335,311.2261617950591
134,TO,3,627.457254919865,448.2666488045629
134,TO,all,280.7623952280621,
135,AC,1,39.15594017094017,44.875787037037036
135,AC,2,71.28132211538461,371.1820833333333
135,AC,3,112.23658591731267,119.85120370370372
135,AC,all,71.89735260770975,
135,AL,1,31.07360576923077,45.13856481481482
135,AL,2,87.19455662393163,181.7263888888889
135,AL,3,48.502858527131785,43.64175925925926
135,AL,all,56.02426776266063,
135,AM,1,29.072964743589747,46.90023148148148
135,AM,2,83.54184829059828,133.5786574074074
135,AM,3,131.97049095607235,97.95166666666667
135,AM,all,78.4401455026455,
135,AP,1,14.546362179487177,70.78819444444444
135,AP,2,196.84455662393162,606.0126851851852
135,AP,3,15.330248708010334,41.10055555555556
135,AP,all,79.26209845049132,
135,BA,1,228.05108440170937,118.58944444444444
135,BA,2,2110.651081730769,10141.199999999999
135,BA,3,258.803226744186,725.795787037037
135,BA,all,903.0003495842781,
135,CE,1,63.61476762820512,142.51199074074074
135,CE,2,244.53650908119656,613.9432407407406
135,CE,3,139.7455684754522,267.3584259259259
135,CE,all,149.8838492063492,
135,DF,1,192.76069711538454,340.44
135,DF,2,3782.61219551282,18235.841018518517
135,DF,3,303.09870478036174,98.46898148148148
135,DF,all,1494.9158824640965,
135,GO,1,337.6356650641025,685.1937962962962
135,GO,2,1335.9892628205125,3861.1183796296295
135,GO,3,524.3176356589147,736.9898611111112
135,GO,all,745.4024121315193,
135,MA,1,22.214772970085466,84.40893518518517
135,MA,2,37.76413461538462,185.10356481481483
135,MA,3,21.93574612403101,34.65393518518518
135,MA,all,27.633607331821615,
135,MG,1,5124.228928952991,18913.239768518517
135,MG,2,21816.469708867524,93003.97592592593
135,MG,3,2739.8496479328164,6943.5199999999995
135,MG,all,10331.495673658352,
135,MS,1,275.9535924145299,716.9543055555556
135,MS,2,363.1218082264958,810.3404166666666
135,MS,3,311.84519056847546,501.16439814814817
135,MS,all,317.28751039304603,
135,MT,1,119.9500373931624,334.48703703703706
135,MT,2,121.12171474358976,270.9311574074074
135,MT,3,211.38092700258392,376.54574074074077
135,MT,all,147.10959845049132,
135,PA,1,31.70670138888889,96.77629629629628
135,PA,2,188.57001869658117,729.1193055555555
135,PA,3,195.41651485788114,492.45879629629627
135,PA,all,135.08367063492062,
135,PB,1,33.86158920940171,55.24625
135,PB,2,153.88700587606834,152.6963425925926
135,PB,3,53.78902454780362,51.3274537037037
135,PB,all,82.14867346938776,
135,PE,1,67.62311164529913,70.10439814814815
135,PE,2,203.76478632478634,446.2915740740741
135,PE,3,83.10854005167958,168.42157407407407
135,PE,all,120.31182256235829,
135,PI,1,27.34065972222222,73.01787037037036
135,PI,2,81.32392895299147,142.58837962962966
135,PI,3,39.16285529715763,89.98226851851852
135,PI,all,49.89497543461829,
135,PR,1,2698.605397970086,12809.544305555553
135,PR,2,7572.201338141025,20268.508287037035
135,PR,3,713.8681072351422,1488.018055555556
135,PR,all,3842.0291080876796,
135,RJ,1,427.8500667735043,785.4430555555555
135,RJ,2,4820.978709935897,25186.487222222222
135,RJ,3,160.9320930232558,233.4037037037037
135,RJ,all,1903.8039210128493,
135,RN,1,44.662254273504274,64.16000000000001
135,RN,2,123.56577724358974,177.10273148148147
135,RN,3,48.84936046511628,81.0675462962963
135,RN,all,73.79850434618292,
135,RO,1,112.10017094017097,373.0649074074074
135,RO,2,41.70704594017094,71.65722222222222
135,RO,3,62.06552648578811,82.21337962962963
135,RO,all,72.56321712018139,
135,RR,1,2.002689636752137,3.8546759259259264
135,RR,2,4.39451655982906,8.22865740740741
135,RR,3,4.573678940568476,4.91412037037037
135,RR,all,3.6008361678004532,
135,RS,1,576.3209401709402,2660.073287037037
135,RS,2,3486.8425827991455,16329.742083333333
135,RS,3,1155.5495736434107,4710.722777777777
135,RS,all,1775.3274480347693,
135,SC,1,2620.683947649573,11941.969861111109
135,SC,2,5441.759447115384,22308.62824074074
135,SC,3,232.7340342377261,769.7066666666666
135,SC,all,2920.099455782313,
135,SE,1,16.92459935897436,36.400416666666665
135,SE,2,13.054983974358976,21.517083333333336
135,SE,3,17.96482235142119,18.544722222222223
135,SE,all,15.860038737717307,
135,SP,1,2053.085801282051,5916.6825
135,SP,2,27552.811989850423,107457.4937037037
135,SP,3,3640.662806847546,11125.840092592602
135,SP,all,11537.790379818596,
135,TO,1,26.61705128205129,60.884629629629636
135,TO,2,99.56780982905981,304.9910185185185
135,TO,3,80.37786175710595,46.81351851851852
135,TO,all,68.14871315192744,
136,AC,1,25.919160865886855,74.21573376176444
136,AC,2,115.18219271417249,714.4155105977034
136,AC,3,147.71432113698492,394.89854175966184
