model_id,state,valid_test,WIS
108,PA,3,22596.428391808346
133,PA,3,6798.225999790205
134,PA,3,27326.476731728933
135,PA,3,9684.350528474162
136,PA,3,11217.757860208001
137,PA,3,3079.390462713606
138,PA,3,1420.3366599518247
139,PA,3,7652.043026649971
143,PA,3,3207.7103516686525
144,PA,3,7127.682526461156
145,PA,3,9136.332780097608
150,PA,3,944.8001515880634
152,PA,3,12688.3817943461
154,PA,3,6517.391425339734
155,PA,3,1455.1803559673301
156,PA,3,270.1436389875355
157,PA,3,5195.1466565155115
108,PA,2,11120.76449592883
133,PA,2,16722.71290637998
134,PA,2,2756.585332457506
135,PA,2,12668.53748866796
136,PA,2,14102.046907584236
137,PA,2,17247.758281295894
138,PA,2,13740.99359820915
139,PA,2,11764.19497458751
143,PA,2,2650.172527667372
144,PA,2,12568.279828225634
145,PA,2,12642.522555214364
150,PA,2,12375.029353304919
152,PA,2,16308.902051620984
154,PA,2,11309.90903776237
155,PA,2,6127.9528908744805
156,PA,2,8179.930820883653
157,PA,2,12587.917721055235
108,PA,1,2664.757249328377
133,PA,1,852.9198644497924
134,PA,1,4077.310678102551
135,PA,1,2506.121423148093
136,PA,1,3089.0800906545937
137,PA,1,2409.3630706746826
138,PA,1,292.4075157503112
139,PA,1,607.7723215645199
143,PA,1,5942.6395517914025
144,PA,1,555.093960862034
145,PA,1,470.7928735126326
150,PA,1,373.93985454933653
152,PA,1,4131.065402723557
154,PA,1,1448.0088154538494
155,PA,1,2983.2286258262625
156,PA,1,2297.120558047669
157,PA,1,264.3864462143074
108,MG,3,2514319.730879275
133,MG,3,751979.9034390912
134,MG,3,21840.29499711168
135,MG,3,210062.22349299432
136,MG,3,10834.530153611566
137,MG,3,30497.93630340292
138,MG,3,253347.58623725115
139,MG,3,56823.076534725966
143,MG,3,17870.419148937723
144,MG,3,227409.9967730421
145,MG,3,1883.455758158259
150,MG,3,18764.92945275194
152,MG,3,161377.6841034268
154,MG,3,67789.9391840852
155,MG,3,443225.6690457783
156,MG,3,48722.18540504083
157,MG,3,319823.9982192415
108,MG,2,239001.3659756429
133,MG,2,1717746.1524460556
134,MG,2,1653957.6502152649
135,MG,2,1232158.2918338152
136,MG,2,1470182.274654678
137,MG,2,1368543.6637780254
138,MG,2,1600814.259231967
139,MG,2,1675807.284401413
143,MG,2,1634865.7760867698
144,MG,2,1465823.947990438
145,MG,2,1597505.0202643434
150,MG,2,1649160.698408554
152,MG,2,1760510.908584489
154,MG,2,1438501.4046958543
155,MG,2,1375135.7437766811
156,MG,2,1167664.5021623473
157,MG,2,1389257.165080866
108,MG,1,88398.69320786398
133,MG,1,117845.72476443375
134,MG,1,220347.89870772092
135,MG,1,287853.9849429316
136,MG,1,272806.8320906678
137,MG,1,166489.2515969657
138,MG,1,343879.56619706826
139,MG,1,290160.782200127
143,MG,1,235160.88810934624
144,MG,1,125654.48957307303
145,MG,1,216494.5217760627
150,MG,1,237147.57380453625
152,MG,1,365076.95688091806
154,MG,1,95047.12059330463
155,MG,1,75076.55656628867
156,MG,1,33828.197880368025
157,MG,1,215438.7577227911
108,MS,3,90758.240348873
133,MS,3,6623.934699214338
134,MS,3,1123.283616805556
135,MS,3,25563.345016054118
136,MS,3,5628.454538294702
137,MS,3,21048.387488774853
138,MS,3,13659.543689547289
139,MS,3,1314.1012414851045
143,MS,3,21920.871497089745
144,MS,3,19182.781861177667
145,MS,3,12213.716583224079
150,MS,3,920.2108034684744
152,MS,3,1532.2159820473685
154,MS,3,16955.60286340371
155,MS,3,28786.559959832055
156,MS,3,22764.368292772924
157,MS,3,5094.535942216538
108,MS,2,166310.7171862605
133,MS,2,7680.984578402516
134,MS,2,3622.502340185518
135,MS,2,43513.67350883355
136,MS,2,13614.37457677423
137,MS,2,20183.622655534564
138,MS,2,713.6559277846454
139,MS,2,1329.6699114416904
143,MS,2,1245.5754329620536
144,MS,2,20600.427515301686
145,MS,2,9485.766540531169
150,MS,2,5790.8162749500125
152,MS,2,3347.1372877358726
154,MS,2,13943.129988966068
155,MS,2,31061.317366984666
156,MS,2,61193.679669677695
157,MS,2,7208.3393807132925
108,MS,1,284423.54784581106
133,MS,1,12066.868085549044
134,MS,1,8548.269417030657
135,MS,1,13734.620092296673
136,MS,1,3407.0494487335964
137,MS,1,2376.958868241953
138,MS,1,36496.35445703287
139,MS,1,26572.647527506513
143,MS,1,28165.156521959772
144,MS,1,2741.4413801058236
